slug	version	glb_url	crosswalk_url
knee-male-right	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.2/assets/3d-vh-m-knee-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.2/assets/crosswalk.csv
large-intestine-female	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.3/assets/3d-sbu-f-large-intestine.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.3/assets/crosswalk.csv
large-intestine-male	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.3/assets/3d-sbu-m-large-intestine.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.3/assets/crosswalk.csv
larynx-female	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-female/v1.1/assets/3d-vh-f-larynx.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-female/v1.1/assets/crosswalk.csv
larynx-male	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-male/v1.1/assets/3d-vh-m-larynx.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-male/v1.1/assets/crosswalk.csv
liver-female	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/3d-vh-f-liver.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/crosswalk.csv
liver-male	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/3d-vh-m-liver.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/crosswalk.csv
lung-female	v1.4	https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/crosswalk.csv
lung-male	v1.4	https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/crosswalk.csv
lymph-node-female	v1.4	https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-female/v1.4/assets/3d-nih-f-lymph-node.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-female/v1.4/assets/crosswalk.csv
lymph-node-male	v1.4	https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-male/v1.4/assets/3d-nih-m-lymph-node.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-male/v1.4/assets/crosswalk.csv
main-bronchus-female	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/main-bronchus-female/v1.1/assets/3d-vh-f-main-bronchus.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/main-bronchus-female/v1.1/assets/crosswalk.csv
main-bronchus-male	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/main-bronchus-male/v1.1/assets/3d-vh-m-main-bronchus.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/main-bronchus-male/v1.1/assets/crosswalk.csv
mammary-gland-female-left	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/mammary-gland-female-left/v1.1/assets/3d-vh-f-mammary-gland-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/mammary-gland-female-left/v1.1/assets/crosswalk.csv
mammary-gland-female-right	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/mammary-gland-female-right/v1.1/assets/3d-vh-f-mammary-gland-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/mammary-gland-female-right/v1.1/assets/crosswalk.csv
manubrium-female	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/manubrium-female/v1.0/assets/3d-vh-f-manubrium.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/manubrium-female/v1.0/assets/crosswalk.csv
