# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
Anterior lateral segment of liver (VI)		Segmentum anterius laterale dextrum hepatis (VI)
Anterior layer of thoracolumbar fascia	left	Lamina anterior fasciae thoracolumbaris
Anterior layer of thoracolumbar fascia	right	Lamina anterior fasciae thoracolumbaris
Anterior ligament of fibular head	left	Ligamentum anterius capitis fibulae
Anterior ligament of fibular head	right	Ligamentum anterius capitis fibulae
Anterior longitudinal ligament		Ligamentum longitudinale anterius
Anterior medial segment of liver (V)		Segmentum anterius mediale dextrum hepatis (V)
Anterior notch of auricle	left	Incisura anterior auriculae
Anterior notch of auricle	right	Incisura anterior auriculae
Anterior region of ankle	left	Regio anterior tali
Anterior region of ankle	right	Regio anterior tali
Anterior region of arm	left	Regio anterior brachii
Anterior region of arm	right	Regio anterior brachii
Anterior region of elbow	left	Regio anterior cubiti
Anterior region of elbow	right	Regio anterior cubiti
Anterior region of forearm	left	Regio anterior antebrachii
Anterior region of forearm	right	Regio anterior antebrachii
Anterior region of knee	left	Regio anterior genus
Anterior region of knee	right	Regio anterior genus
Anterior region of leg	left	Regio anterior cruris
Anterior region of leg	right	Regio anterior cruris
Anterior region of thigh	left	Regio anterior femoris
Anterior region of thigh	right	Regio anterior femoris
Anterior region of wrist	left	Regio anterior carpi
Anterior region of wrist	right	Regio anterior carpi
Anterior sacro-iliac ligament	left	Ligamentum sacroiliacum anterius
Anterior sacro-iliac ligament	right	Ligamentum sacroiliacum anterius
Anterior segment of eyeball	left	Segmentum anterius bulbi oculi
Anterior segment of eyeball	right	Segmentum anterius bulbi oculi
Anterior segmental artery of left lung		Arteria segmentalis anterior pulmonis sinistri
Anterior segmental artery of right lung		Arteria segmentalis anterior pulmonis dextri
Anterior segmental bronchus of left lung (BIII)		Bronchus segmentalis anterior pulmonis sinistri (BIII)
Anterior semilunar leaflet of pulmonary valve		Valvula semilunaris anterior valvae trunci pulmonalis
Anterior septal branches of anterior ethmoidal artery	left	Rami septales anteriores arteriae ethmoideae anterioris
Anterior septal branches of anterior ethmoidal artery	right	Rami septales anteriores arteriae ethmoideae anterioris
Anterior spinal artery	left	Arteria spinalis anterior
Anterior spinal artery	right	Arteria spinalis anterior
Anterior sternoclavicular ligament	left	Ligamentum sternoclaviculare anterius
Anterior sternoclavicular ligament	right	Ligamentum sternoclaviculare anterius
Anterior talocalcaneal ligament	left	Ligamentum talocalcaneum anterius
Anterior talocalcaneal ligament	right	Ligamentum talocalcaneum anterius
Anterior talofibular ligament	left	Ligamentum talofibulare anterius
Anterior talofibular ligament	right	Ligamentum talofibulare anterius
Anterior tibial artery	left	Arteria tibialis anterior
Anterior tibial artery	right	Arteria tibialis anterior
Anterior tibial veins	left	Venae tibiales anteriores
Anterior tibial veins	right	Venae tibiales anteriores
Anterior tibiofibular ligament	left	Ligamentum tibiofibulare anterius
Anterior tibiofibular ligament	right	Ligamentum tibiofibulare anterius
Anterior vein of left lung		Vena anterior pulmonis sinistri
Anterior vein of right lung		Vena anterior pulmonis dextri
Antihelix	left	Antihelix
Antihelix	right	Antihelix
Antitragus	left	Antitragus
Antitragus	right	Antitragus
Aortic arch		Arcus aortae
Apical segmental artery of left lung		Arteria segmentalis apicalis pulmonis sinistri
Apical segmental artery of right lung		Arteria segmentalis apicalis pulmonis dextri
Apical segmental bronchus of right lung (BI)		Bronchus segmentalis apicalis pulmonis dextri (BI)
Apical vein of right lung		Vena apicalis pulmonis dextri
Apicoposterior segmental bronchus of left lung (BI+BII)		Bronchus segmentalis apicopost. pulmonis sinistri (BI+BII)
Apicoposterior vein of left lung		Vena apicoposterior pulmonis sinistri
Appendicular artery		Arteria appendicularis
Arcuate artery	left	Arteria arcuata
Arcuate artery	right	Arteria arcuata
Artery of pterygoid canal	left	Arteria canalis pterygoidei
Artery of pterygoid canal	right	Arteria canalis pterygoidei
Articular capsule of elbow joint	left	Capsula articularis articulation cubiti
Articular capsule of elbow joint	right	Capsula articularis articulation cubiti
Articular capsule of knee joint	left	Capsula articularis genus
Articular capsule of knee joint	right	Capsula articularis genus
Articular capsule of radiocarpal joint	left	Capsula articularis articulatio radiocarpea
Articular capsule of radiocarpal joint	right	Capsula articularis articulatio radiocarpea
Articular capsules of metacarpophalangeal joints	left	Capsulae articulariae articulationes metacarpophalnageae
Articular capsules of metacarpophalangeal joints	right	Capsulae articulariae articulationes metacarpophalnageae
Articular disc of acromioclavicular joint	left	Discus articulationis acromioclavicularis
Articular disc of acromioclavicular joint	right	Discus articulationis acromioclavicularis
Articular disc of distal radio-ulnar joint	left	Discus articulationis radioulnaris distalis
Articular disc of distal radio-ulnar joint	right	Discus articulationis radioulnaris distalis
Articular disc of sternoclavicular joint	left	Discus articulationis sternoclavicularis
Articular disc of sternoclavicular joint	right	Discus articulationis sternoclavicularis
Articular disc of temporomandibular joint	left	Discus articulationis temporomandibularis
Articular disc of temporomandibular joint	right	Discus articulationis temporomandibularis
Ary-epiglottic part of oblique arytenoid muscle	left	Pars aryepiglottica musculi arytenoidei obliqui
Ary-epiglottic part of oblique arytenoid muscle	right	Pars aryepiglottica musculi arytenoidei obliqui
Arytenoid cartilage	left	Cartilago arytenoidea
Arytenoid cartilage	right	Cartilago arytenoidea
Ascending aorta		Aorta ascendens
Ascending branch of left colic artery		Ramus ascendens arteriae
Ascending colon		Colon ascendens
Ascending part of trapezius muscle	left	Pars ascendens musculi trapezii
Ascending part of trapezius muscle	right	Pars ascendens musculi trapezii
Ascending pharyngeal artery	left	Arteria pharyngea ascendens
Ascending pharyngeal artery	right	Arteria pharyngea ascendens
Auricular region	left	Regio auricularis
Auricular region	right	Regio auricularis
Axillary artery	left	Arteria axillaris
Axillary artery	right	Arteria axillaris
Axillary nerve	left	Nervus axillaris
Axillary nerve	right	Nervus axillaris
Axillary vein	left	Vena axillaris
Axillary vein	right	Vena axillaris
Azygos vein		Vena azyga
Basilar artery		Arteria basilaris
Basilar venous plexus		Plexus venosus basilaris
Basilic vein	left	Vena basilica
Basilic vein	right	Vena basilica
Bifurcation of pulmonary trunk		Bifurcatio trunci pulmonalis
Bile duct		Ductus biliaris
Body of sternum		Corpus sterni
Brachial artery	left	Arteria brachialis
Brachial artery	right	Arteria brachialis
Brachial fascia	left	Fascia brachii
Brachial fascia	right	Fascia brachii
Brachial veins	left	Venae brachiales
Brachial veins	right	Venae brachiales
Brachialis muscle	left	Musculus brachialis
Brachialis muscle	right	Musculus brachialis
Brachiocephalic trunk		Truncus brachiocephalicus
Brachioradialis muscle	left	Musculus brachioradialis
Brachioradialis muscle	right	Musculus brachioradialis
Buccal artery	left	Arteria buccalis
Buccal artery	right	Arteria buccalis
Buccal nerve	left	Nervus buccalis
Buccal nerve	right	Nervus buccalis
Buccal region	left	Regio buccalis
Buccal region	right	Regio buccalis
Bucinator	left	Bucinator
Bucinator	right	Bucinator
Calcaneal branches of fibular artery	left	Rami calcanei arteriae fibularis
Calcaneal branches of fibular artery	right	Rami calcanei arteriae fibularis
Calcaneal branches of posterior tibial artery	left	Rami calcanei arteriae tibialis posterioris
Calcaneal branches of posterior tibial artery	right	Rami calcanei arteriae tibialis posterioris
Calcaneal tendon	left	Tendo calcaneus
Calcaneal tendon	right	Tendo calcaneus
Calcaneocuboid ligament	left	Ligamentum calcaneocuboideum
Calcaneocuboid ligament	right	Ligamentum calcaneocuboideum
Calcaneofibular ligament	left	Ligamentum calcaneofibulare
Calcaneofibular ligament	right	Ligamentum calcaneofibulare
Calcaneonavicular ligament	left	Ligamentum calcaneonaviculare
Calcaneonavicular ligament	right	Ligamentum calcaneonaviculare
Calcaneus	left	Calcaneus
Calcaneus	right	Calcaneus
Calcarine sulcus	left	Sulcus calcarinus
Calcarine sulcus	right	Sulcus calcarinus
Callosomarginal artery	left	Arteria callosomarginalis
Callosomarginal artery	right	Arteria callosomarginalis
Capitate bone	left	Os capitatum
Capitate bone	right	Os capitatum
Carotid triangle	left	Trigonum caroticum
Carotid triangle	right	Trigonum caroticum
Caudate nucleus	left	Nucleus caudatus
Caudate nucleus	right	Nucleus caudatus
Cavernous sinus	left	Sinus cavernosus
Cavernous sinus	right	Sinus cavernosus
Cavity of concha	left	Cavitas conchae
Cavity of concha	right	Cavitas conchae
Central canal		Canalis centralis
Central retinal artery	left	Arteria centralis retinae
Central retinal artery	right	Arteria centralis retinae
Central sulcus	left	Sulcus centralis
Central sulcus	right	Sulcus centralis
Cephalic vein	left	Vena cephalica
Cephalic vein	right	Vena cephalica
Chorda tympani	left	Chorda tympani
Chorda tympani	right	Chorda tympani
Choroid plexus	left	Plexus chorioideus
Choroid plexus	right	Plexus chorioideus
Circular sulcus of insula	left	Sulcus circularis insulae
Circular sulcus of insula	right	Sulcus circularis insulae
Circumflex artery of heart		Arteria circumflexa cordis
Circumflex scapular artery	left	Arteria circumflexa scapulae
Circumflex scapular artery	right	Arteria circumflexa scapulae
Circumflex scapular vein	left	Vena circumflexa scapulae
Circumflex scapular vein	right	Vena circumflexa scapulae
Clavicle	left	Clavicula
Clavicle	right	Clavicula
Clavicular head of pectoralis major muscle	left	Pars clavicularis musculi pectoralis majoris
Clavicular head of pectoralis major muscle	right	Pars clavicularis musculi pectoralis majoris
Clavicular part of deltoid muscle	left	Pars clavicularis musculi deltoidei
Clavicular part of deltoid muscle	right	Pars clavicularis musculi deltoidei
Clavipectoral fascia	left	Fascia clavipectoralis
Clavipectoral fascia	right	Fascia clavipectoralis
Coccygeus muscle	left	Musculus coccygeus
Coccygeus muscle	right	Musculus coccygeus
Coccyx		Os coccygis
Cochlea	left	Cochlea
Cochlea	right	Cochlea
Cochlear nerve		Nervus cochlearis
Coeliac trunk		Truncus coeiiacus
Colic branch of ileocolic artery		Ramus colicus arteriae ileocolicae
Collateral interphalangeal ligaments of foot	left	Ligamenta interphalangea collateralia pedis
Collateral interphalangeal ligaments of foot	right	Ligamenta interphalangea collateralia pedis
Collateral interphalangeal ligaments of hand	left	Ligamenta interphalangea collateralia manus
Collateral interphalangeal ligaments of hand	right	Ligamenta interphalangea collateralia manus
Collateral metacarpophalangeal ligaments	left	Ligamenta metacarpophalangea collateralia
Collateral metacarpophalangeal ligaments	right	Ligamenta metacarpophalangea collateralia
Collateral metatarsophalangeal ligaments	left	Ligamenta metatarsophalangea collateralia
Collateral metatarsophalangeal ligaments	right	Ligamenta metatarsophalangea collateralia
Collateral sulcus	left	Sulcus collateralis
Collateral sulcus	right	Sulcus collateralis
Common facial vein	left	Vena facialis communis
Common facial vein	right	Vena facialis communis
Common fibular nerve	left	Nervus fibularis communis
Common fibular nerve	right	Nervus fibularis communis
Common hepatic artery		Arteria hepatica communis
Common iliac artery	left	Arteria iliaca communis
Common iliac vein	right	Vena iliaca communis
