# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
Dorsal fascia of hand	right	Fascia dorsalis manus
Dorsal intercarpal ligaments	left	Ligamenta intercarpea dorsalia
Dorsal intercarpal ligaments	right	Ligamenta intercarpea dorsalia
Dorsal intercuneiform ligaments	left	Ligamenta intercuneiformia dorsalia
Dorsal intercuneiform ligaments	right	Ligamenta intercuneiformia dorsalia
Dorsal interossei muscles of foot	left	Musculi interossei dorsales pedis
Dorsal interossei muscles of foot	right	Musculi interossei dorsales pedis
Dorsal interossei muscles of hand	left	Musculi interossei dorsales manus
Dorsal interossei muscles of hand	right	Musculi interossei dorsales manus
Dorsal metacarpal arteries	left	Arteriae metacarpeae dorsales
Dorsal metacarpal arteries	right	Arteriae metacarpeae dorsales
Dorsal metacarpal ligaments	left	Ligamenta metacarpea dorsalia
Dorsal metacarpal ligaments	right	Ligamenta metacarpea dorsalia
Dorsal metatarsal arteries	left	Arteriae metatarseae dorsales
Dorsal metatarsal arteries	right	Arteriae metatarseae dorsales
Dorsal metatarsal ligaments	left	Ligamenta metatarsea dorsalia
Dorsal metatarsal ligaments	right	Ligamenta metatarsea dorsalia
Dorsal metatarsal veins	left	Venae metatarseae dorsales
Dorsal metatarsal veins	right	Venae metatarseae dorsales
Dorsal parts of lateral intertransversarii lumborum muscles	left	Partes dors. musculorum intertransversariorum lat. lumborum
Dorsal parts of lateral intertransversarii lumborum muscles	right	Partes dors. musculorum intertransversariorum lat. lumborum
Dorsal radio-ulnar ligament	left	Ligamentum radioulnare dorsale
Dorsal radio-ulnar ligament	right	Ligamentum radioulnare dorsale
Dorsal radiocarpal ligament	left	Ligamentum radiocarpeum dorsale
Dorsal radiocarpal ligament	right	Ligamentum radiocarpeum dorsale
Dorsal scaphotriquetral ligament	left	Ligamentum scaphotriquetrum dorsale
Dorsal scaphotriquetral ligament	right	Ligamentum scaphotriquetrum dorsale
Dorsal scapular nerve	left	Nervus dorsalis scapulae
Dorsal scapular nerve	right	Nervus dorsalis scapulae
Dorsal surfaces of digits of foot	left	Facies dorsales digitorum
Dorsal surfaces of digits of foot	right	Facies dorsales digitorum
Dorsal surfaces of digits of hand	left	Facies dorsales digitorum manus
Dorsal surfaces of digits of hand	right	Facies dorsales digitorum manus
Dorsal tarsometatarsal ligaments	left	Ligamenta tarsometatarsea dorsalia
Dorsal tarsometatarsal ligaments	right	Ligamenta tarsometatarsea dorsalia
Dorsal ulnocarpal ligament	left	Ligamentum ulnocarpeum dorsale
Dorsal ulnocarpal ligament	right	Ligamentum ulnocarpeum dorsale
Dorsal venous arch of foot	left	Arcus venosus dorsalis pedis
Dorsal venous arch of foot	right	Arcus venosus dorsalis pedis
Dorsal venous network of hand	left	Rete venosum dorsale manus
Dorsal venous network of hand	right	Rete venosum dorsale manus
Dorsalis pedis artery	left	Arteria dorsalis pedis
Dorsalis pedis artery	right	Arteria dorsalis pedis
Dorsum of foot	left	Dorsum pedis
Dorsum of foot	right	Dorsum pedis
Dorsum of hand	left	Dorsum manus
Dorsum of hand	right	Dorsum manus
Ductus deferens	left	Ductus deferens
Ductus deferens	right	Ductus deferens
Duodenum		Duodenum
Ejaculatory duct	left	Ductus ejaculatorius
Ejaculatory duct	right	Ductus ejaculatorius
Eleventh rib	left	Undecima costa
Eleventh rib	right	Undecima costa
Epicranial aponeurosis	left	Galea aponeurotica
Epicranial aponeurosis	right	Galea aponeurotica
Epididymis	left	Epididymis
Epididymis	right	Epididymis
Epigastric region	left	Regio epigastrica
Epigastric region	right	Regio epigastrica
Epiglottis		Epiglottis
Ethmoid bone		Os ethmoideum
Extensor carpi radialis brevis	left	Extensor radialis brevis carpi
Extensor carpi radialis brevis	right	Extensor radialis brevis carpi
Extensor carpi radialis longus	left	Extensor radialis longus carpi
Extensor carpi radialis longus	right	Extensor radialis longus carpi
Extensor digiti minimi	left	Extensor digiti minimi
Extensor digiti minimi	right	Extensor digiti minimi
Extensor digitorum	left	Extensor digitorum
Extensor digitorum	right	Extensor digitorum
Extensor digitorum brevis	left	Extensor brevis digitorum
Extensor digitorum brevis	right	Extensor brevis digitorum
Extensor digitorum longus	left	Extensor longus digitorum
Extensor digitorum longus	right	Extensor longus digitorum
Extensor hallucis brevis	left	Extensor brevis hallucis
Extensor hallucis brevis	right	Extensor brevis hallucis
Extensor hallucis longus	left	Extensor longus hallucis
Extensor hallucis longus	right	Extensor longus hallucis
Extensor indicis	left	Extensor indicis
Extensor indicis	right	Extensor indicis
Extensor pollicis brevis	left	Extensor brevis pollicis
Extensor pollicis brevis	right	Extensor brevis pollicis
Extensor pollicis longus	left	Extensor longus pollicis
Extensor pollicis longus	right	Extensor longus pollicis
Extensor retinaculum of wrist	left	Retinaculum extensorium carpi
Extensor retinaculum of wrist	right	Retinaculum extensorium carpi
External abdominal oblique muscle	left	Musculus obliquus externus abdominis
External abdominal oblique muscle	right	Musculus obliquus externus abdominis
External anal sphincter	left	Sphincter externus ani
External anal sphincter	right	Sphincter externus ani
External carotid artery	left	Carotis externa
External carotid artery	right	Carotis externa
External iliac artery	left	Arteria iliaca externa
External iliac artery	right	Arteria iliaca externa
External iliac vein	left	Vena iliaca externa
External iliac vein	right	Vena iliaca externa
External intercostal membrane	left	Membrana intercostalis externa
External intercostal membrane	right	Membrana intercostalis externa
External intercostal muscles	left	Musculi intercostales externi
External intercostal muscles	right	Musculi intercostales externi
External jugular vein	left	Vena iugularis externa
External jugular vein	right	Vena iugularis externa
External part of thyro-arytenoid muscle	left	Pars externa musculi thyreoarytenoidei
External part of thyro-arytenoid muscle	right	Pars externa musculi thyreoarytenoidei
Eyebrow	left	Supercilium
Eyebrow	right	Supercilium
Eyelashes	left	Cilia
Eyelashes	right	Cilia
Facial artery	left	Arteria facialis
Facial artery	right	Arteria facialis
Facial nerve (VII)	left	Nervus facialis (VII)
Facial nerve (VII)	right	Nervus facialis (VII)
Facial vein	left	Vena facialis
Facial vein	right	Vena facialis
Falx cerebri		Falx cerebri
Fascia lata	left	Fascia lata
Fascia lata	right	Fascia lata
Femoral artery	left	Arteria femoralis
Femoral artery	right	Arteria femoralis
Femoral branch of genitofemoral nerve	left	Ramus femoralis nervi genitofemoralis
Femoral branch of genitofemoral nerve	right	Ramus femoralis nervi genitofemoralis
Femoral nerve	left	Nervus femoralis
Femoral nerve	right	Nervus femoralis
Femoral triangle	left	Trigonum femorale
Femoral triangle	right	Trigonum femorale
Femoral vein	left	Vena femoralis
Femoral vein	right	Vena femoralis
Femur	left	Os femoris
Femur	right	Os femoris
Fibula	left	Fibula
Fibula	right	Fibula
Fibular artery	left	Arteria fibularis
Fibular artery	right	Arteria fibularis
Fibular collateral ligament	left	Ligamentum collaterale fibulare
Fibular collateral ligament	right	Ligamentum collaterale fibulare
Fibular veins	left	Venae fibulares
Fibular veins	right	Venae fibulares
Fibularis brevis muscle	left	Musculus fibularis brevis
Fibularis brevis muscle	right	Musculus fibularis brevis
Fibularis longus muscle	left	Musculus fibularis longus
Fibularis longus muscle	right	Musculus fibularis longus
Fibularis tertius muscle	left	Musculus fibularis tertius
Fibularis tertius muscle	right	Musculus fibularis tertius
Fifth metatarsal bone	left	Os quintum metatarsi
Fifth metatarsal bone	right	Os quintum metatarsi
Fifth rib	left	Quinta costa
Fifth rib	right	Quinta costa
First metatarsal bone	left	Os primum metatarsi
First metatarsal bone	right	Os primum metatarsi
First posterior intercostal artery	left	Arteria intercostalis posterior prima
First posterior intercostal artery	right	Arteria intercostalis posterior prima
First rib	left	Costa prima
First rib	right	Costa prima
Flexor carpi radialis	left	Flexor radialis carpi
Flexor carpi radialis	right	Flexor radialis carpi
Flexor digiti minimi of foot	left	Flexor digiti minimi pedis pedis
Flexor digiti minimi of foot	right	Flexor digiti minimi pedis pedis
Flexor digiti minimi of hand	left	Flexor digiti minimi manus
Flexor digiti minimi of hand	right	Flexor digiti minimi manus
Flexor digitorum brevis	left	Flexor brevis digitorum
Flexor digitorum brevis	right	Flexor brevis digitorum
Flexor digitorum longus	left	Musculus flexor digitorum longus
Flexor digitorum longus	right	Musculus flexor digitorum longus
Flexor digitorum profundus	left	Flexor profundus digitorum
Flexor digitorum profundus	right	Flexor profundus digitorum
Flexor hallucis longus	right	Flexor longus hallucis
Flexor pollicis longus	left	Flexor longus pollicis
Flexor retinaculum of ankle	left	Retinaculum flexorium tali
Flexor retinaculum of ankle	right	Retinaculum flexorium tali
Flexor retinaculum of wrist	left	Retinaculum flexorium carpi
Flexor retinaculum of wrist	right	Retinaculum flexorium carpi
Fornix	left	Fornix
Fornix	right	Fornix
Fossa antihelica	left	Fossa antihelica
Fossa antihelica	right	Fossa antihelica
Fourth metatarsal bone	left	Os quatum metatarsi
Fourth metatarsal bone	right	Os quatum metatarsi
Fourth rib	left	Quarta costa
Fourth rib	right	Quarta costa
Fourth ventricle		Ventriculus quartus
Free taenia		Taenia libera
Frontal bone		Os frontale
Frontal branch of superficial temporal artery	left	Ramus fontale arteriae temporalis superficialis
Frontal branch of superficial temporal artery	right	Ramus fontale arteriae temporalis superficialis
Frontal branches of callosomarginal artery	left	Rami frontales arteriae callosomarginal
Frontal branches of callosomarginal artery	right	Rami frontales arteriae callosomarginal
Frontal region	left	Regio frontalis
Frontal region	right	Regio frontalis
Frontalis muscle	left	Musculus frontalis
Frontalis muscle	right	Musculus frontalis
Gallbladder		Vesica biliaris
Ganglia of sympathetic trunk	left	Ganglia trunci sympathici
Ganglia of sympathetic trunk	right	Ganglia trunci sympathici
Gastroduodenal artery		Arteria gastroduodenalis
Genicular veins	left	Venae geniculares
Genicular veins	right	Venae geniculares
Genioglossus muscle	left	Musculus genioglossus
Genioglossus muscle	right	Musculus genioglossus
Geniohyoid muscle	left	Musculus geniohyoideus
Geniohyoid muscle	right	Musculus geniohyoideus
Genital branch of genitofemoral nerve	left	Ramus genitalis nervi genitofemoralis
Genital branch of genitofemoral nerve	right	Ramus genitalis nervi genitofemoralis
Genitofemoral nerve	left	Nervus genitofemoralis
Genitofemoral nerve	right	Nervus genitofemoralis
Gingiva		Gingiva
Glans penis		Glans penis
Glenoid labrum	left	Labrum glenoideum
Glenoid labrum	right	Labrum glenoideum
Globus pallidus	left	Globus pallidus
Globus pallidus	right	Globus pallidus
Glossopharyngeal nerve (IX)	left	Nervus glossopharyngeus (IX)
Glossopharyngeal nerve (IX)	right	Nervus glossopharyngeus (IX)
Gluteal fold	left	Sulcus gluteus
Gluteal fold	right	Sulcus gluteus
Gluteal region	left	Regio glutea
Gluteal region	right	Regio glutea
Gluteus maximus muscle	left	Musculus gluteus maximus
Gluteus maximus muscle	right	Musculus gluteus maximus
Gluteus medius muscle	left	Musculus gluteus medius
Gluteus medius muscle	right	Musculus gluteus medius
Gluteus minimus muscle	left	Musculus gluteus minimus
Gluteus minimus muscle	right	Musculus gluteus minimus
Gracilis muscle	left	Musculus gracilis
Gracilis muscle	right	Musculus gracilis
Great cardiac vein		Vena magna cordis
Great saphenous vein	left	Vena saphena magna
Great saphenous vein	right	Vena saphena magna
Greater omentum		Omentum maius
Greater palatine artery	left	Arteria palatina major
Greater palatine artery	right	Arteria palatina major
Habenula		Habenula
Hallucial eminence	left	Eminentia hallucis
Hallucial eminence	right	Eminentia hallucis
Hamate bone	left	Os hamatum
Hamate bone	right	Os hamatum
Heel region	left	Regio calcanea
Heel region	right	Regio calcanea
Helix	left	Helix
Helix	right	Helix
Hemi-azygos vein		Vena hemiazyga
Hepatic portal vein		Vena portae hepatis
Hepatic veins		Venae hepaticae
Hip bone	left	Os coxae
Hip bone	right	Os coxae
Hip region	left	Regio coxalis
Hip region	right	Regio coxalis
Hippocampal commissure		Commissura hippocampi
Hippocampus	left	Hippocampus
Hippocampus	right	Hippocampus
Humeral head of extensor carpi ulnaris	left	Caput humerale extensoris ulnaris carpi
Humeral head of extensor carpi ulnaris	right	Caput humerale extensoris ulnaris carpi
Humerus	left	Humerus
Humerus	right	Humerus
Hyoglossus muscle	left	Musculus hyoglossus
Hyoglossus muscle	right	Musculus hyoglossus
Hyoid bone		Os hyoideum
Hypochondriac region	left	Regio hypochondriaca
Hypochondriac region	right	Regio hypochondriaca
Hypogastric region	left	Regio hypogastrica
Hypogastric region	right	Regio hypogastrica
Ileal branch of ileocolic artery		Ramus ilealis arteriae ileocolicae
Iliacus branch of iliolumbar artery	left	Ramus iliacus arteriae iliolumbalis
Iliacus branch of iliolumbar artery	right	Ramus iliacus arteriae iliolumbalis
Iliacus muscle	left	Musculus iliacus
Iliacus muscle	right	Musculus iliacus
Ilio-inguinal nerve	left	Nervus ilioinguinalis
Ilio-inguinal nerve	right	Nervus ilioinguinalis
Iliococcygeus muscle	left	Musculus iliococcygeus
Iliococcygeus muscle	right	Musculus iliococcygeus
Iliocostalis colli muscle		Musculus iliocostalis colli
Iliocostalis lumborum muscle	left	Musculus iliocostalis lumborum
Iliocostalis lumborum muscle	right	Musculus iliocostalis lumborum
Iliocostalis thoracis muscle	left	Musculus iliocostalis thoracis
Iliocostalis thoracis muscle	right	Musculus iliocostalis thoracis
Iliohypogastric nerve	left	Nervus iliohypogastricus
Iliohypogastric nerve	right	Nervus iliohypogastricus
Iliolumbar artery	left	Arteria iliolumbalis
Iliolumbar artery	right	Arteria iliolumbalis
Iliolumbar ligament	left	Ligamentum iliolumbale
Iliolumbar ligament	right	Ligamentum iliolumbale
Iliolumbar vein	left	Vena iliolumbalis
Iliolumbar vein	right	Vena iliolumbalis
Iliopectineal arch	left	Arcus iliopectineus
Iliopectineal arch	right	Arcus iliopectineus
Iliopsoas fascia	left	Fascia iliopsoae
Iliopsoas fascia	right	Fascia iliopsoae
Iliotibial tract	left	Tractus iliotibialis
Iliotibial tract	right	Tractus iliotibialis
Incus	left	Incus
Incus	right	Incus
Inferior alveolar artery	left	Arteria alveolaris inferior
Inferior alveolar artery	right	Arteria alveolaris inferior
Inferior alveolar nerve	left	Nervus alveolaris inferior
Inferior alveolar nerve	right	Nervus alveolaris inferior
Inferior basal vein of left lung		Vena basalis inferior pulmonis sinistri
Inferior basal vein of right lung		Vena basalis inferior pulmonis dextri
Inferior colliculus	left	Colliculus inferior
Inferior colliculus	right	Colliculus inferior
Inferior epigastric artery	left	Arteria epigastrica inferior
Inferior epigastric artery	right	Arteria epigastrica inferior
Inferior epigastric vein	left	Vena epigastrica inferior
Inferior epigastric vein	right	Vena epigastrica inferior
Inferior extensor retinaculum of ankle	left	Retinaculum extensorium inferius tali
Inferior extensor retinaculum of ankle	right	Retinaculum extensorium inferius tali
Inferior fibular retinaculum	left	Retinaculum fibulare inferius
Inferior fibular retinaculum	right	Retinaculum fibulare inferius
Inferior frontal sulcus	left	Sulcus frontalis inferior
Inferior frontal sulcus	right	Sulcus frontalis inferior
Inferior gemellus muscle	left	Musculus gemellus inferior
Inferior gemellus muscle	right	Musculus gemellus inferior
Inferior glenohumeral ligament	left	Ligamentum glenohumerale inferius
Inferior glenohumeral ligament	right	Ligamentum glenohumerale inferius
Inferior gluteal artery	left	Arteria glutea inferior
Inferior gluteal artery	right	Arteria glutea inferior
Inferior gluteal veins	left	Venae gluteae inferiores
Inferior gluteal veins	right	Venae gluteae inferiores
Inferior head of lateral pterygoid muscle	left	Caput inferius musculi pterygoidei lateralis
Inferior head of lateral pterygoid muscle	right	Caput inferius musculi pterygoidei lateralis
Inferior labial artery	left	Arteria labialis inferior
Inferior labial artery	right	Arteria labialis inferior
Inferior labial veins	left	Venae labiales inferiores
Inferior labial veins	right	Venae labiales inferiores
Inferior lateral brachial cutaneous nerve	left	Nervus cutaneus lateralis inferior brachii
Inferior lateral brachial cutaneous nerve	right	Nervus cutaneus lateralis inferior brachii
Inferior lateral genicular artery	left	Arteria inferior lateralis genus
Inferior lateral genicular artery	right	Arteria inferior lateralis genus
Inferior lingular artery of left lung		Arteria lingularis inferior pulmonis sinistri
Inferior lingular segmental bronchus of left lung (BV)		Bronchus segmentalis lingularis inf. pulmonis sinistri (BV)
Inferior lingular vein of left lung		Vena lingularis inferior pulmonis sinistri
Inferior lobar artery of right lung		Arteria lobaris inferior pulmonis dextri
Inferior lobe of left lung		Lobus inferior pulmonis sinistri
Inferior lobe of right lung		Lobus inferior pulmonis dextri
Inferior medial genicular artery	left	Arteria inferior medialis genus
Inferior medial genicular artery	right	Arteria inferior medialis genus
Inferior mesenteric artery		Arteria mesenterica inferior
Inferior mesenteric vein		Vena mesenterica inferior
Inferior nasal concha bone	left	Concha nasalis inferior
Inferior nasal concha bone	right	Concha nasalis inferior
Inferior oblique muscle	left	Musculus obliquus inferior bulbi oculi
Inferior oblique muscle	right	Musculus obliquus inferior bulbi oculi
Inferior ophthalmic vein	left	Vena ophthalmica inferior
Inferior ophthalmic vein	right	Vena ophthalmica inferior
Inferior pancreaticoduodenal artery		Arteria pancreaticoduodenalis
Inferior papillary muscle of left ventricle		Musculus papillaris inferior ventriculi sinistri
Inferior parathyroid gland	left	Glandula parathyreoidea inferior
Inferior parathyroid gland	right	Glandula parathyreoidea inferior
Inferior petrosal sinus	left	Sinus petrosus inferior
Inferior petrosal sinus	right	Sinus petrosus inferior
Inferior pharyngeal constrictor	left	Constrictor inferior pharyngis
Inferior pharyngeal constrictor	right	Constrictor inferior pharyngis
Inferior phrenic artery		Arteria phrenica inferior
Inferior pubic ligament		Ligamentum pubicum inferius
Inferior rectus muscle	left	Musculus rectus inferior
Inferior rectus muscle	right	Musculus rectus inferior
Inferior salivatory nucleus	left	Nucleus salivatorius inferior
Inferior salivatory nucleus	right	Nucleus salivatorius inferior
Inferior suprarenal artery	left	Arteria suprarenalis inferior
Inferior suprarenal artery	right	Arteria suprarenalis inferior
Inferior tarsus	left	Tarsus inferior
Inferior tarsus	right	Tarsus inferior
Inferior temporal gyrus	left	Gyrus temporalis inferior
Inferior temporal gyrus	right	Gyrus temporalis inferior
Inferior temporal sulcus	left	Sulcus temporalis inferior
Inferior temporal sulcus	right	Sulcus temporalis inferior
Inferior thyroid artery	left	Arteria thyreoidea inferior arteria thyroidea inferior
Inferior thyroid artery	right	Arteria thyreoidea inferior arteria thyroidea inferior
Inferior trunk of brachial plexus	left	Truncus inferior plexus brachialis
Inferior trunk of brachial plexus	right	Truncus inferior plexus brachialis
Inferior ulnar collateral artery	left	Arteria collateralis ulnaris inferior
Inferior ulnar collateral artery	right	Arteria collateralis ulnaris inferior
Inferior vein of left ventricle		Vena inferior ventriculi sinistri
Infra-orbital artery	left	Arteria infraorbitalis
Infra-orbital artery	right	Arteria infraorbitalis
Infraclavicular fossa	left	Fossa infraclavicularis
Infraclavicular fossa	right	Fossa infraclavicularis
Inframammary region	left	Regio inframammaria
Inframammary region	right	Regio inframammaria
Infrapatellar branch of saphenous nerve	left	Ramus infrapatellaris nervi sapheni
Infrapatellar branch of saphenous nerve	right	Ramus infrapatellaris nervi sapheni
Infrapatellar fat pad	left	Corpus adiposum infrapatellare
Infrapatellar fat pad	right	Corpus adiposum infrapatellare
Infrascapular region	left	Regio infrascapularis
Infrascapular region	right	Regio infrascapularis
Infraspinatus muscle	left	Musculus infraspinatus
Infraspinatus muscle	right	Musculus infraspinatus
Inguinal ligament	left	Ligamentum inguinale
Inguinal ligament	right	Ligamentum inguinale
Inguinal region	left	Regio inguinalis
Inguinal region	right	Regio inguinalis
Innermost intercostal muscles	left	Musculi intercostales intimi
Innermost intercostal muscles	right	Musculi intercostales intimi
Intercapitular veins of foot	left	Venae intercapitulares pedis
Intercapitular veins of foot	right	Venae intercapitulares pedis
Interclavicular ligament	left	Ligamentum interclaviculare
Interclavicular ligament	right	Ligamentum interclaviculare
Intercornual ligament	left	Ligamentum intercornuale
Intercornual ligament	right	Ligamentum intercornuale
Intercostal nerves	left	Nervi intercostales
Intercostal nerves	right	Nervi intercostales
Intermediate cuneiform bone	left	Os cuneiforme intermedium
Intermediate cuneiform bone	right	Os cuneiforme intermedium
Intermediate dorsal cutaneous nerve of foot	left	Nervus cutaneus intermedius dorsalis pedis
Intermediate dorsal cutaneous nerve of foot	right	Nervus cutaneus intermedius dorsalis pedis
Intermediate tendon of digastric muscle	left	Tendo intermedius musculi digastrici
Intermediate tendon of digastric muscle	right	Tendo intermedius musculi digastrici
Internal abdominal oblique muscle	left	Musculus obliquus internus abdominis
Internal abdominal oblique muscle	right	Musculus obliquus internus abdominis
Internal carotid artery	left	Carotis interna
Internal carotid artery	right	Carotis interna
Internal iliac artery	left	Arteria iliaca interna
Internal iliac artery	right	Arteria iliaca interna
Internal iliac vein	left	Vena iliaca interna
Internal iliac vein	right	Vena iliaca interna
Internal intercostal membrane	left	Membrana intercostalis interna
Internal intercostal membrane	right	Membrana intercostalis interna
Internal intercostal muscles	left	Musculi intercostales interni
Internal intercostal muscles	right	Musculi intercostales interni
Internal jugular vein	left	Vena jugularis interna
Internal jugular vein	right	Vena jugularis interna
Internal pudendal artery	left	Arteria pudendalis interna
Internal pudendal artery	right	Arteria pudendalis interna
Internal pudendal vein	left	Vena pudendalis interna
Internal pudendal vein	right	Vena pudendalis interna
Internal thoracic artery	left	Arteria thoracica interna
Internal thoracic artery	right	Arteria thoracica interna
Internal thoracic veins	left	Venae thoracicae internae
Internal thoracic veins	right	Venae thoracicae internae
Interosseous membrane of forearm	left	Membrana interossea antebrachii
Interosseous membrane of forearm	right	Membrana interossea antebrachii
Interosseous membrane of leg	left	Membrana interossea cruris
Interosseous membrane of leg	right	Membrana interossea cruris
Interosseous sacro-iliac ligament	left	Ligamentum sacroiliacum interosseum
Interosseous sacro-iliac ligament	right	Ligamentum sacroiliacum interosseum
Interpeduncular fossa	left	Fossa interpeduncularis
Interpeduncular fossa	right	Fossa interpeduncularis
Interpubic disc		Discus interpubicus
Intersesamoid ligament	left	Ligamentum intersesamoideum
Intersesamoid ligament	right	Ligamentum intersesamoideum
Interspinales colli muscles	left	Musculi interspinales colli
Interspinales colli muscles	right	Musculi interspinales colli
Interspinales lumborum muscles	left	Musculi interspinales lumborum
Interspinales lumborum muscles	right	Musculi interspinales lumborum
Interspinales thoracis muscles	left	Musculi interspinales thoracis
Interspinales thoracis muscles	right	Musculi interspinales thoracis
Interspinous ligaments		Ligamenta interspinalia
Intertragic incisure	left	Incisura intertragica
Intertragic incisure	right	Incisura intertragica
Intertransverse ligaments	left	Ligamenta intertransversaria
Intertransverse ligaments	right	Ligamenta intertransversaria
Intra-articular ligament of head of rib		Ligamentum intraarticulare capitis costae
Intraparietal sulcus	left	Sulcus intraparietalis
Intraparietal sulcus	right	Sulcus intraparietalis
Intrarenal veins of left kidney		Venae intrarenales renis sinistri
Intrarenal veins of right kidney		Venae intrarenales renis dextri
Investing abdominal fascia	left	Fascia investiens abdominis
Investing abdominal fascia	right	Fascia investiens abdominis
Iris	left	Iris
Iris	right	Iris
Ischiofemoral ligament	left	Ligamentum ischiofemorale
Ischiofemoral ligament	right	Ligamentum ischiofemorale
Jejunum		Jejunum
Kidney	left	Ren
Kidney	right	Ren
Labial commissure	left	Commissura labiorum oris
Labial commissure	right	Commissura labiorum oris
Lacrimal artery	left	Arteria lacrimalis
Lacrimal artery	right	Arteria lacrimalis
Lacrimal bone	left	Os lacrimale
Lacrimal bone	right	Os lacrimale
Lacrimal canaliculus	left	Canaliculus lacrimalis
Lacrimal canaliculus	right	Canaliculus lacrimalis
Lacrimal gland	left	Glandula lacrimalis
Lacrimal gland	right	Glandula lacrimalis
Lacrimal sac	left	Saccus lacrimalis
Lacrimal sac	right	Saccus lacrimalis
Lateral antebrachial cutaneous nerve	left	Nervus cutaneus lateralis antebrachii
Lateral antebrachial cutaneous nerve	right	Nervus cutaneus lateralis antebrachii
Lateral basal segmental artery of left lung		Arteria segmentalis basalis lateralis pulmonis sinistri
Lateral basal segmental artery of right lung		Arteria segmentalis basalis lateralis pulmonis dextri
Lateral bicipital groove	left	Sulcus bicipitalis lateralis
Lateral bicipital groove	right	Sulcus bicipitalis lateralis
Lateral border of foot	left	Margo lateralis pedis
Lateral border of foot	right	Margo lateralis pedis
Lateral border of forearm	left	Margo lateralis antebrachii
Lateral border of forearm	right	Margo lateralis antebrachii
Lateral circumflex femoral artery	left	Arteria circumflexa lateralis femoris
Lateral circumflex femoral artery	right	Arteria circumflexa lateralis femoris
Lateral circumflex femoral veins	left	Venae circumflexae latérales
Lateral circumflex femoral veins	right	Venae circumflexae latérales
Lateral crico-arytenoid muscle	left	Musculus cricoarytendoideus lateralis
Lateral crico-arytenoid muscle	right	Musculus cricoarytendoideus lateralis
Lateral cuneiform bone	left	Os cuneiforme laterale
Lateral cuneiform bone	right	Os cuneiforme laterale
Lateral femoral cutaneous nerve	left	Nervus cutaneus lateralis femoris
Lateral femoral cutaneous nerve	right	Nervus cutaneus lateralis femoris
Lateral femoral intermuscular septum	left	Septum intermusculare laterale femoris
Lateral femoral intermuscular septum	right	Septum intermusculare laterale femoris
Lateral geniculate body	left	Corpus geniculatum laterale
Lateral geniculate body	right	Corpus geniculatum laterale
Lateral head of flexor hallucis brevis	left	Caput laterale flexoris brevis hallucis
Lateral head of flexor hallucis brevis	right	Caput laterale flexoris brevis hallucis
Lateral head of gastrocnemius	left	Caput laterale musculi gastrocnemii
Lateral head of gastrocnemius	right	Caput laterale musculi gastrocnemii
Lateral head of triceps brachii	left	Caput laterale musculi tricipitis brachii
Lateral head of triceps brachii	right	Caput laterale musculi tricipitis brachii
Lateral intermuscular septum of arm	left	Septum intermusculare laterale brachii
Lateral intermuscular septum of arm	right	Septum intermusculare laterale brachii
Lateral meniscus	left	Meniscus lateralis
Lateral meniscus	right	Meniscus lateralis
Lateral occipital artery	left	Arteria occipitalis lateralis
Lateral occipital artery	right	Arteria occipitalis lateralis
Lateral occipitotemporal gyrus	left	Gyrus occipitotemporalis lateralis
Lateral occipitotemporal gyrus	right	Gyrus occipitotemporalis lateralis
Lateral part of longitudinal arch of foot	left	Pars lateralis arcus longitudinalis pedis
Lateral part of longitudinal arch of foot	right	Pars lateralis arcus longitudinalis pedis
Lateral patellar retinaculum	left	Retinaculum laterale patellae
Lateral patellar retinaculum	right	Retinaculum laterale patellae
Lateral pectoral nerve	left	Nervus pectoralis lateralis
Lateral pectoral nerve	right	Nervus pectoralis lateralis
Lateral plantar artery	left	Arteria plantaris lateralis
Lateral plantar artery	right	Arteria plantaris lateralis
Lateral plantar nerve	left	Nervus plantaris lateralis
Lateral plantar nerve	right	Nervus plantaris lateralis
Lateral plantar veins	left	Venae plantares latérales
Lateral plantar veins	right	Venae plantares latérales
Lateral pontine branches of basilar artery	left	Rami laterales pontis arteriae basilaris
Lateral pontine branches of basilar artery	right	Rami laterales pontis arteriae basilaris
Lateral process of nasal septal cartilage	left	Processus lateralis cartilaginis septi nasi
Lateral process of nasal septal cartilage	right	Processus lateralis cartilaginis septi nasi
Lateral rectus muscle	left	Musculus rectus lateralis bulbi oculi
Lateral rectus muscle	right	Musculus rectus lateralis bulbi oculi
Lateral region of abdomen	left	Regio lateralis abdominis
Lateral region of abdomen	right	Regio lateralis abdominis
Lateral region of neck	left	Regio lateralis colli
Lateral region of neck	right	Regio lateralis colli
Lateral region of thorax	left	Regio lateralis thoracis
Lateral region of thorax	right	Regio lateralis thoracis
Lateral retromalleolar region	left	Regio retromalleolaris lateralis regio
Lateral retromalleolar region	right	Regio retromalleolaris lateralis regio
