name	side	fma	system	layer
Anterior spinal artery	right	FMA:50532	cardiovascular	organ
Anterior spinal artery	left	FMA:50533	cardiovascular	organ
Vertebral artery	right	FMA:3958	cardiovascular	organ
Basilar artery		FMA:50542	cardiovascular	organ
Anterior inferior cerebellar artery	left	FMA:50546	cardiovascular	organ
Superior cerebellar artery	right	FMA:50574	cardiovascular	organ
Superior cerebellar artery	left	FMA:50575	cardiovascular	organ
Medial occipital artery	left	FMA:50646	cardiovascular	organ
Lateral occipital artery	left	FMA:50644	cardiovascular	organ
Anterior inferior cerebellar artery	right	FMA:50545	cardiovascular	organ
Medial occipital artery	right	FMA:50645	cardiovascular	organ
Lateral occipital artery	right	FMA:50643	cardiovascular	organ
Posterior inferior cerebellar artery	right	FMA:50519	cardiovascular	organ
Costocervical trunk	right	FMA:5039	cardiovascular	organ
Second posterior intercostal artery	right	FMA:5041	cardiovascular	organ
First posterior intercostal artery	right	FMA:66242	cardiovascular	organ
Deep cervical artery	right	FMA:10660	cardiovascular	organ
Thyrocervical trunk	right	FMA:3992	cardiovascular	organ
Transverse cervical artery	right	FMA:10699	cardiovascular	organ
Suprascapular artery	right	FMA:10698	cardiovascular	organ
Inferior thyroid artery	right	FMA:10697	cardiovascular	organ
Internal thoracic artery	right	FMA:3969	cardiovascular	organ
Musculophrenic artery	right	FMA:10692	cardiovascular	organ
Superior epigastric artery	right	FMA:3988	cardiovascular	organ
Axillary artery	right	FMA:22655	cardiovascular	organ
Lateral thoracic artery	right	FMA:22675	cardiovascular	organ
Radial artery	right	FMA:22733	cardiovascular	organ
Deep brachial artery	right	FMA:22696	cardiovascular	organ
Superior ulnar collateral artery	right	FMA:22707	cardiovascular	organ
Inferior ulnar collateral artery	right	FMA:22712	cardiovascular	organ
Ulnar artery	right	FMA:22797	cardiovascular	organ
Dorsal carpal branch of ulnar artery	right	FMA:22821	cardiovascular	organ
Common interosseous artery	right	FMA:22807	cardiovascular	organ
Recurrent interosseous artery	right	FMA:268667	cardiovascular	organ
Subscapular artery	right	FMA:22678	cardiovascular	organ
Thoracodorsal artery	right	FMA:66321	cardiovascular	organ
Circumflex scapular artery	right	FMA:23180	cardiovascular	organ
Anterior circumflex humeral artery	right	FMA:22682	cardiovascular	organ
Posterior circumflex humeral artery	right	FMA:22685	cardiovascular	organ
Abdominal aorta		FMA:3789	cardiovascular	organ
Inferior phrenic artery		FMA:68068	cardiovascular	organ
Common hepatic artery		FMA:14771	cardiovascular	organ
Gastroduodenal artery		FMA:14775	cardiovascular	organ
Splenic artery		FMA:14773	cardiovascular	organ
Inferior mesenteric artery		FMA:14750	cardiovascular	organ
Inferior suprarenal artery	right	FMA:69265	cardiovascular	organ
Inferior suprarenal artery	left	FMA:69266	cardiovascular	organ
Superior mesenteric artery		FMA:14749	cardiovascular	organ
Ileocolic artery		FMA:14815	cardiovascular	organ
Appendicular artery		FMA:14818	cardiovascular	organ
Middle colic artery		FMA:14810	cardiovascular	organ
Inferior pancreaticoduodenal artery		FMA:14805	cardiovascular	organ
Anterior inferior pancreaticoduodenal artery		FMA:70479	cardiovascular	organ
Common iliac artery	left	FMA:21388	cardiovascular	organ
External iliac artery	left	FMA:18807	cardiovascular	organ
Inferior epigastric artery	left	FMA:20689	cardiovascular	organ
Internal iliac artery	left	FMA:18810	cardiovascular	organ
Inferior gluteal artery	left	FMA:18913	cardiovascular	organ
Internal pudendal artery	left	FMA:18837	cardiovascular	organ
Dorsal artery of penis	left	FMA:20819	cardiovascular	organ
Superior gluteal artery	left	FMA:18870	cardiovascular	organ
Iliolumbar artery	left	FMA:18847	cardiovascular	organ
Median sacral artery		FMA:77168	cardiovascular	organ
Internal iliac artery	right	FMA:18809	cardiovascular	organ
Obturator artery	left	FMA:18867	cardiovascular	organ
Obturator artery	right	FMA:18866	cardiovascular	organ
Internal pudendal artery	right	FMA:18836	cardiovascular	organ
Dorsal artery of penis	right	FMA:20818	cardiovascular	organ
Inferior gluteal artery	right	FMA:18912	cardiovascular	organ
Iliolumbar artery	right	FMA:18846	cardiovascular	organ
Superior gluteal artery	right	FMA:18869	cardiovascular	organ
External iliac artery	right	FMA:18806	cardiovascular	organ
Inferior epigastric artery	right	FMA:20688	cardiovascular	organ
Ascending aorta		FMA:3736	cardiovascular	organ
Subcostal artery	left	FMA:4654	cardiovascular	organ
Subcostal artery	right	FMA:4634	cardiovascular	organ
Femoral artery	left	FMA:70250	cardiovascular	organ
Superficial epigastric artery	left	FMA:20736	cardiovascular	organ
Popliteal artery	left	FMA:77381	cardiovascular	organ
Inferior lateral genicular artery	left	FMA:43893	cardiovascular	organ
Inferior medial genicular artery	left	FMA:43891	cardiovascular	organ
Anterior tibial artery	left	FMA:44337	cardiovascular	organ
Dorsalis pedis artery	left	FMA:43917	cardiovascular	organ
Lateral tarsal artery	left	FMA:69491	cardiovascular	organ
Arcuate artery	left	FMA:69495	cardiovascular	organ
Posterior tibial artery	left	FMA:43899	cardiovascular	organ
Lateral plantar artery	left	FMA:43932	cardiovascular	organ
Plantar arch	left	FMA:43944	cardiovascular	organ
Fibular artery	left	FMA:44886	cardiovascular	organ
Medial plantar artery	left	FMA:43930	cardiovascular	organ
Middle genicular artery	left	FMA:22563	cardiovascular	organ
Deep femoral artery	left	FMA:20797	cardiovascular	organ
Lateral circumflex femoral artery	left	FMA:20802	cardiovascular	organ
Medial circumflex femoral artery	left	FMA:44919	cardiovascular	organ
Internal carotid artery	left	FMA:4062	cardiovascular	organ
Ophthalmic artery	left	FMA:49870	cardiovascular	organ
Supratrochlear artery	left	FMA:52644	cardiovascular	organ
Posterior ethmoidal artery	left	FMA:52716	cardiovascular	organ
Anterior ethmoidal artery	left	FMA:52677	cardiovascular	organ
Supra-orbital artery	left	FMA:52657	cardiovascular	organ
Posterior parietal artery	left	FMA:50490	cardiovascular	organ
Artery of central sulcus	left	FMA:77439	cardiovascular	organ
Prefrontal artery	left	FMA:50478	cardiovascular	organ
Lateral frontobasal artery	left	FMA:50444	cardiovascular	organ
Artery of precentral sulcus	left	FMA:50481	cardiovascular	organ
Occipital artery	left	FMA:49588	cardiovascular	organ
Posterior communicating artery	right	FMA:50085	cardiovascular	organ
Posterior communicating artery	left	FMA:50086	cardiovascular	organ
Anterior communicating artery		FMA:50169	cardiovascular	organ
Pulmonary trunk		FMA:8612	cardiovascular	organ
Anterior interventricular artery		FMA:66403	cardiovascular	organ
Coronary sinus		FMA:4706	cardiovascular	organ
Middle cardiac vein		FMA:4713	cardiovascular	organ
Great cardiac vein		FMA:4707	cardiovascular	organ
Suprascapular vein	left	FMA:50860	cardiovascular	organ
Axillary vein	left	FMA:13331	cardiovascular	organ
Anterior circumflex humeral vein	left	FMA:77955	cardiovascular	organ
Subscapular vein	left	FMA:23115	cardiovascular	organ
Circumflex scapular vein	left	FMA:77950	cardiovascular	organ
Thoracodorsal vein	left	FMA:71215	cardiovascular	organ
Basilic vein	left	FMA:22910	cardiovascular	organ
Median cubital vein	left	FMA:22965	cardiovascular	organ
Median antebrachial vein	left	FMA:22969	cardiovascular	organ
Cephalic vein	left	FMA:13326	cardiovascular	organ
Lateral thoracic vein	left	FMA:71212	cardiovascular	organ
Superior vena cava		FMA:4720	cardiovascular	organ
Vertebral vein	right	FMA:4756	cardiovascular	organ
Occipital vein	right	FMA:51489	cardiovascular	organ
Azygos vein		FMA:4838	cardiovascular	organ
Vertebral vein	left	FMA:4764	cardiovascular	organ
Occipital vein	left	FMA:51490	cardiovascular	organ
Hepatic portal vein		FMA:50735	cardiovascular	organ
Internal jugular vein	left	FMA:4762	cardiovascular	organ
Internal jugular vein	right	FMA:4754	cardiovascular	organ
Femoral vein	right	FMA:21188	cardiovascular	organ
Popliteal vein	right	FMA:44328	cardiovascular	organ
Small saphenous vein	right	FMA:44334	cardiovascular	organ
Dorsal venous arch of foot	right	FMA:44881	cardiovascular	organ
Deep femoral vein	right	FMA:51042	cardiovascular	organ
Great saphenous vein	right	FMA:21379	cardiovascular	organ
Superficial epigastric vein	right	FMA:44340	cardiovascular	organ
Splenic vein		FMA:14331	cardiovascular	organ
Inferior mesenteric vein		FMA:15391	cardiovascular	organ
Superior mesenteric vein		FMA:14332	cardiovascular	organ
Middle colic vein		FMA:15406	cardiovascular	organ
Axillary vein	right	FMA:13330	cardiovascular	organ
Subscapular vein	right	FMA:23114	cardiovascular	organ
Circumflex scapular vein	right	FMA:77949	cardiovascular	organ
Thoracodorsal vein	right	FMA:71214	cardiovascular	organ
Cephalic vein	right	FMA:13325	cardiovascular	organ
Lateral thoracic vein	right	FMA:71211	cardiovascular	organ
Basilic vein	right	FMA:22909	cardiovascular	organ
Median cubital vein	right	FMA:22964	cardiovascular	organ
Median antebrachial vein	right	FMA:22968	cardiovascular	organ
Anterior circumflex humeral vein	right	FMA:77954	cardiovascular	organ
Suprascapular vein	right	FMA:50859	cardiovascular	organ
Common iliac vein	right	FMA:21387	cardiovascular	organ
Internal iliac vein	right	FMA:18887	cardiovascular	organ
Internal pudendal vein	right	FMA:18918	cardiovascular	organ
Deep dorsal vein of penis		FMA:21354	cardiovascular	organ
Iliolumbar vein	right	FMA:18903	cardiovascular	organ
External iliac vein	right	FMA:18885	cardiovascular	organ
Inferior epigastric vein	right	FMA:21163	cardiovascular	organ
Iliolumbar vein	left	FMA:18904	cardiovascular	organ
Internal iliac vein	left	FMA:18888	cardiovascular	organ
Internal pudendal vein	left	FMA:18919	cardiovascular	organ
External iliac vein	left	FMA:18886	cardiovascular	organ
Inferior epigastric vein	left	FMA:21164	cardiovascular	organ
Femoral vein	left	FMA:21189	cardiovascular	organ
Deep femoral vein	left	FMA:51043	cardiovascular	organ
Popliteal vein	left	FMA:44329	cardiovascular	organ
Small saphenous vein	left	FMA:44335	cardiovascular	organ
Dorsal venous arch of foot	left	FMA:44882	cardiovascular	organ
Great saphenous vein	left	FMA:21380	cardiovascular	organ
Superficial epigastric vein	left	FMA:44341	cardiovascular	organ
Trachea		FMA:7394	respiratory	organ
Gallbladder		FMA:7202	digestive	organ
Pancreas		FMA:7198	digestive	organ
Pancreatic duct		FMA:10419	digestive	organ
Submandibular gland	left	FMA:59803	digestive	organ
Submandibular gland	right	FMA:59802	digestive	organ
Tongue		FMA:54640	digestive	organ
Duodenum		FMA:7206	digestive	organ
Stomach		FMA:7148	digestive	organ
Ascending colon		FMA:14545	digestive	organ
Descending colon		FMA:14547	digestive	organ
Transverse colon		FMA:14546	digestive	organ
Kidney	right	FMA:7204	metabolic	organ
Ureter	right	FMA:15571	metabolic	organ
Urethra		FMA:19667	metabolic	organ
Ureter	left	FMA:15572	metabolic	organ
Urinary bladder		FMA:15900	metabolic	organ
Kidney	left	FMA:7205	metabolic	organ
Prostate		FMA:9600	reproductive	organ
Incus	right	FMA:74050	musculoskeletal	bone
Stapes	left	FMA:74049	musculoskeletal	bone
Malleus	left	FMA:74053	musculoskeletal	bone
Incus	left	FMA:74051	musculoskeletal	bone
Malleus	right	FMA:74052	musculoskeletal	bone
Stapes	right	FMA:74048	musculoskeletal	bone
Suspensory ligament of eyeball	left	FMA:322155	nervous	organ
Suspensory ligament of eyeball	right	FMA:322154	nervous	organ
Cornea	right	FMA:58239	nervous	organ
Posterior segment of eyeball	right	FMA:58869	nervous	organ
Vitreous body	right	FMA:58828	nervous	organ
Iris	right	FMA:58236	nervous	organ
Lens	left	FMA:58243	nervous	organ
Anterior segment of eyeball	left	FMA:58867	nervous	organ
Anterior chamber of eyeball	left	FMA:58082	nervous	organ
Posterior segment of eyeball	left	FMA:58870	nervous	organ
Vitreous body	left	FMA:58829	nervous	organ
Retina	left	FMA:58303	nervous	organ
Sclera	left	FMA:58272	nervous	organ
Sclera	right	FMA:58271	nervous	organ
Lens	right	FMA:58242	nervous	organ
Anterior segment of eyeball	right	FMA:58866	nervous	organ
Anterior chamber of eyeball	right	FMA:58081	nervous	organ
Cornea	left	FMA:58240	nervous	organ
Retina	right	FMA:58302	nervous	organ
Iris	left	FMA:58237	nervous	organ
Tympanic membrane	left	FMA:56428	nervous	organ
Tympanic membrane	right	FMA:56427	nervous	organ
Cochlea	left	FMA:60203	nervous	organ
Cochlea	right	FMA:60202	nervous	organ
Patellar ligament	right	FMA:44585	musculoskeletal	bone
Patella	left	FMA:24487	musculoskeletal	bone
Patellar ligament	left	FMA:44586	musculoskeletal	bone
Transverse head of adductor hallucis	left	FMA:46021	musculoskeletal	bone
Oblique head of adductor hallucis	left	FMA:46019	musculoskeletal	bone
Oblique head of adductor hallucis	right	FMA:46018	musculoskeletal	bone
Transverse head of adductor hallucis	right	FMA:46020	musculoskeletal	bone
Extensor digitorum brevis	left	FMA:51143	musculoskeletal	bone
Lateral head of flexor hallucis brevis	right	FMA:45973	musculoskeletal	bone
Medial head of flexor hallucis brevis	right	FMA:45971	musculoskeletal	bone
Extensor digitorum brevis	right	FMA:51142	musculoskeletal	bone
Medial head of flexor hallucis brevis	left	FMA:45972	musculoskeletal	bone
Lateral head of flexor hallucis brevis	left	FMA:45974	musculoskeletal	bone
Long plantar ligament	left	FMA:44250	musculoskeletal	bone
Long plantar ligament	right	FMA:44249	musculoskeletal	bone
Patella	right	FMA:24486	musculoskeletal	bone
Medial head of gastrocnemius	left	FMA:45958	musculoskeletal	bone
Lateral head of gastrocnemius	left	FMA:45961	musculoskeletal	bone
Femur	right	FMA:24474	musculoskeletal	bone
Medial head of gastrocnemius	right	FMA:45957	musculoskeletal	bone
Lateral head of gastrocnemius	right	FMA:45960	musculoskeletal	bone
Short head of biceps femoris	left	FMA:45892	musculoskeletal	bone
Long head of biceps femoris	right	FMA:45888	musculoskeletal	bone
Levator ani	right	FMA:82938	musculoskeletal	bone
Levator ani	left	FMA:82939	musculoskeletal	bone
Long head of biceps femoris	left	FMA:45889	musculoskeletal	bone
Coccyx		FMA:20229	musculoskeletal	bone
Depressor labii inferioris	right	FMA:46817	musculoskeletal	bone
Masseter	left	FMA:48998	musculoskeletal	bone
Masseter	right	FMA:48997	musculoskeletal	bone
Depressor anguli oris	left	FMA:46830	musculoskeletal	bone
Depressor labii inferioris	left	FMA:46818	musculoskeletal	bone
Depressor anguli oris	right	FMA:46829	musculoskeletal	bone
Depressor septi nasi	right	FMA:55608	musculoskeletal	bone
Levator labii superioris	right	FMA:46806	musculoskeletal	bone
Orbital part of orbicularis oculi	right	FMA:46782	musculoskeletal	bone
Levator anguli oris	right	FMA:46823	musculoskeletal	bone
Zygomatic bone	left	FMA:52893	musculoskeletal	bone
Depressor septi nasi	left	FMA:55609	musculoskeletal	bone
Orbital part of orbicularis oculi	left	FMA:46783	musculoskeletal	bone
Levator anguli oris	left	FMA:46824	musculoskeletal	bone
Levator labii superioris	left	FMA:46807	musculoskeletal	bone
Zygomatic bone	right	FMA:52892	musculoskeletal	bone
Body of sternum		FMA:7487	musculoskeletal	bone
Xiphoid process		FMA:7488	musculoskeletal	bone
Ulnar head of flexor carpi ulnaris	left	FMA:38620	musculoskeletal	bone
Extensor carpi ulnaris	left	FMA:38508	musculoskeletal	bone
Adductor pollicis	right	FMA:37392	musculoskeletal	bone
Flexor digitorum superficialis	right	FMA:38470	musculoskeletal	bone
Pronator teres	right	FMA:38451	musculoskeletal	bone
Medial head of triceps brachii	right	FMA:37695	musculoskeletal	bone
Lateral head of triceps brachii	right	FMA:37697	musculoskeletal	bone
Flexor digitorum superficialis	left	FMA:38471	musculoskeletal	bone
Deep head of flexor pollicis brevis	left	FMA:46111	musculoskeletal	bone
Extensor carpi ulnaris	right	FMA:38507	musculoskeletal	bone
Deep head of flexor pollicis brevis	right	FMA:46110	musculoskeletal	bone
Adductor pollicis	left	FMA:37393	musculoskeletal	bone
Ulnar head of flexor carpi ulnaris	right	FMA:38619	musculoskeletal	bone
Pronator teres	left	FMA:38452	musculoskeletal	bone
Flexor carpi ulnaris	right	FMA:38466	musculoskeletal	bone
Flexor carpi ulnaris	left	FMA:38467	musculoskeletal	bone
Lateral head of triceps brachii	left	FMA:37698	musculoskeletal	bone
Medial head of triceps brachii	left	FMA:37696	musculoskeletal	bone
Short head of biceps brachii	left	FMA:37685	musculoskeletal	bone
Long head of biceps brachii	right	FMA:37686	musculoskeletal	bone
Long head of triceps brachii	right	FMA:37699	musculoskeletal	bone
Long head of biceps brachii	left	FMA:37687	musculoskeletal	bone
Long head of triceps brachii	left	FMA:37700	musculoskeletal	bone
Sciatic bursa of obturator internus	left	FMA:45080	musculoskeletal	muscle
Suprapatellar bursa	left	FMA:75409	musculoskeletal	muscle
Subtendinous bursa of tibialis anterior	right	FMA:45034	musculoskeletal	muscle
Sciatic bursa of obturator internus	right	FMA:45079	musculoskeletal	muscle
Subcutaneous prepatellar bursa	right	FMA:45199	musculoskeletal	muscle
Subcutaneous prepatellar bursa	left	FMA:45200	musculoskeletal	muscle
Subcutaneous calcaneal bursa	left	FMA:45047	musculoskeletal	muscle
Subtendinous prepatellar bursa	left	FMA:45053	musculoskeletal	muscle
Anserine bursa	right	FMA:45202	musculoskeletal	muscle
Subcutaneous infrapatellar bursa	right	FMA:43792	musculoskeletal	muscle
Suprapatellar bursa	right	FMA:75408	musculoskeletal	muscle
Subcutaneous bursa of medial malleolus	left	FMA:45044	musculoskeletal	muscle
Subtendinous bursa of tibialis anterior	left	FMA:45035	musculoskeletal	muscle
Subcutaneous infrapatellar bursa	left	FMA:43793	musculoskeletal	muscle
Subcutaneous bursa of lateral malleolus	left	FMA:45041	musculoskeletal	muscle
Subcutaneous bursa of medial malleolus	right	FMA:45043	musculoskeletal	muscle
Anserine bursa	left	FMA:45203	musculoskeletal	muscle
Subcutaneous calcaneal bursa	right	FMA:45046	musculoskeletal	muscle
Subcutaneous trochanteric bursa	right	FMA:43582	musculoskeletal	muscle
Subtendinous bursa of obturator internus	left	FMA:45024	musculoskeletal	muscle
Subtendinous prepatellar bursa	right	FMA:45052	musculoskeletal	muscle
Deep infrapatellar bursa	left	FMA:43796	musculoskeletal	muscle
Subcutaneous bursa of lateral malleolus	right	FMA:45040	musculoskeletal	muscle
Subcutaneous trochanteric bursa	left	FMA:43583	musculoskeletal	muscle
Deep infrapatellar bursa	right	FMA:43795	musculoskeletal	muscle
Subtendinous bursa of obturator internus	right	FMA:45023	musculoskeletal	muscle
Iliotibial tract	left	FMA:58777	musculoskeletal	muscle
Iliotibial tract	right	FMA:58776	musculoskeletal	muscle
Tendon of extensor digitorum longus	right	FMA:47081	musculoskeletal	muscle
Tendon of extensor digitorum longus	left	FMA:47082	musculoskeletal	muscle
Short head of biceps femoris	right	FMA:45891	musculoskeletal	muscle
Calcaneal tendon	right	FMA:258847	musculoskeletal	muscle
Calcaneal tendon	left	FMA:264844	musculoskeletal	muscle
Medial patellar retinaculum	right	FMA:44588	musculoskeletal	muscle
Lateral patellar retinaculum	left	FMA:44592	musculoskeletal	muscle
Lateral patellar retinaculum	right	FMA:44591	musculoskeletal	muscle
Medial patellar retinaculum	left	FMA:44589	musculoskeletal	muscle
Corrugator supercilii	right	FMA:46796	musculoskeletal	muscle
Palpebral part of orbicularis oculi	right	FMA:46785	musculoskeletal	muscle
Palpebral part of orbicularis oculi	left	FMA:46786	musculoskeletal	muscle
Corrugator supercilii	left	FMA:46797	musculoskeletal	muscle
Superficial part of masseter	left	FMA:49002	musculoskeletal	muscle
Deep part of masseter	right	FMA:49004	musculoskeletal	muscle
Deep part of masseter	left	FMA:49005	musculoskeletal	muscle
Superficial part of masseter	right	FMA:49001	musculoskeletal	muscle
Common tendinous ring	left	FMA:49073	musculoskeletal	muscle
Common tendinous ring	right	FMA:49072	musculoskeletal	muscle
Short head of biceps brachii	right	FMA:37684	musculoskeletal	muscle
Humeral head of flexor carpi ulnaris	right	FMA:38617	musculoskeletal	muscle
Radial head of flexor digitorum superficialis	right	FMA:38640	musculoskeletal	muscle
Humeral head of flexor carpi ulnaris	left	FMA:38618	musculoskeletal	muscle
Radial head of flexor digitorum superficialis	left	FMA:38641	musculoskeletal	muscle
Humeral head of extensor carpi ulnaris	left	FMA:298174	musculoskeletal	muscle
Ulnar head of extensor carpi ulnaris	left	FMA:298181	musculoskeletal	muscle
Ulnar head of extensor carpi ulnaris	right	FMA:298177	musculoskeletal	muscle
Humeral head of extensor carpi ulnaris	right	FMA:298172	musculoskeletal	muscle
Superficial head of flexor pollicis brevis	left	FMA:65199	musculoskeletal	muscle
Oblique head of adductor pollicis	left	FMA:46122	musculoskeletal	muscle
Transverse head of adductor pollicis	right	FMA:46123	musculoskeletal	muscle
Oblique head of adductor pollicis	right	FMA:46121	musculoskeletal	muscle
Superficial head of flexor pollicis brevis	right	FMA:65198	musculoskeletal	muscle
Transverse head of adductor pollicis	left	FMA:46124	musculoskeletal	muscle
Subtendinous bursa of infraspinatus muscle	right	FMA:35519	musculoskeletal	muscle
Bicipitoradial bursa	left	FMA:42283	musculoskeletal	muscle
Subdeltoid bursa	right	FMA:35081	musculoskeletal	muscle
Subacromial bursa	left	FMA:35517	musculoskeletal	muscle
Subcutaneous acromial bursa	right	FMA:34991	musculoskeletal	muscle
Subcutaneous acromial bursa	left	FMA:34992	musculoskeletal	muscle
Subacromial bursa	right	FMA:35516	musculoskeletal	muscle
Subtendinous bursa of infraspinatus muscle	left	FMA:35520	musculoskeletal	muscle
Subdeltoid bursa	left	FMA:35082	musculoskeletal	muscle
Bicipitoradial bursa	right	FMA:42282	musculoskeletal	muscle
Lateral intermuscular septum of arm	right	FMA:37892	musculoskeletal	muscle
Antebrachial fascia	left	FMA:38853	musculoskeletal	muscle
Extensor retinaculum of wrist	left	FMA:40119	musculoskeletal	muscle
Brachial fascia	right	FMA:37787	musculoskeletal	muscle
Medial intermuscular septum of arm	right	FMA:37890	musculoskeletal	muscle
Antebrachial fascia	right	FMA:38852	musculoskeletal	muscle
Extensor retinaculum of wrist	right	FMA:40118	musculoskeletal	muscle
Flexor retinaculum of wrist	right	FMA:40120	musculoskeletal	muscle
Palmar aponeurosis	right	FMA:42440	musculoskeletal	muscle
Dorsal fascia of hand	right	FMA:42445	musculoskeletal	muscle
Palmar aponeurosis	left	FMA:42441	musculoskeletal	muscle
Flexor retinaculum of wrist	left	FMA:40121	musculoskeletal	muscle
Medial intermuscular septum of arm	left	FMA:37891	musculoskeletal	muscle
Superficial transverse metacarpal ligament	left	FMA:42461	musculoskeletal	muscle
Brachial fascia	left	FMA:37788	musculoskeletal	muscle
Lateral intermuscular septum of arm	left	FMA:37893	musculoskeletal	muscle
Dorsal fascia of hand	left	FMA:42446	musculoskeletal	muscle
Superficial transverse metacarpal ligament	right	FMA:42460	musculoskeletal	muscle
Clavipectoral fascia	right	FMA:37662	musculoskeletal	muscle
Pectoral fascia	left	FMA:38174	musculoskeletal	muscle
Pectoral fascia	right	FMA:38173	musculoskeletal	muscle
Clavipectoral fascia	left	FMA:37663	musculoskeletal	muscle
Crural fascia	left	FMA:58792	musculoskeletal	muscle
Anterior intermuscular septum of leg	left	FMA:58757	musculoskeletal	muscle
Superior fibular retinaculum	left	FMA:51122	musculoskeletal	muscle
Medial femoral intermuscular septum	right	FMA:58750	musculoskeletal	muscle
Inferior extensor retinaculum of ankle	left	FMA:49387	musculoskeletal	muscle
Inferior fibular retinaculum	left	FMA:51120	musculoskeletal	muscle
Inferior extensor retinaculum of ankle	right	FMA:49386	musculoskeletal	muscle
Plantar aponeurosis	left	FMA:45174	musculoskeletal	muscle
Medial femoral intermuscular septum	left	FMA:58751	musculoskeletal	muscle
Lateral femoral intermuscular septum	right	FMA:58747	musculoskeletal	muscle
Inferior fibular retinaculum	right	FMA:51119	musculoskeletal	muscle
Anterior intermuscular septum of leg	right	FMA:58756	musculoskeletal	muscle
Superficial transverse metatarsal ligament	right	FMA:44562	musculoskeletal	muscle
Superior fibular retinaculum	right	FMA:51121	musculoskeletal	muscle
Superficial transverse metatarsal ligament	left	FMA:44563	musculoskeletal	muscle
Lateral femoral intermuscular septum	left	FMA:58748	musculoskeletal	muscle
Plantar aponeurosis	right	FMA:45172	musculoskeletal	muscle
Crural fascia	right	FMA:58791	musculoskeletal	muscle
Flexor retinaculum of ankle	right	FMA:49373	musculoskeletal	muscle
Posterior intermuscular septum of leg	right	FMA:58759	musculoskeletal	muscle
Flexor retinaculum of ankle	left	FMA:49374	musculoskeletal	muscle
Posterior intermuscular septum of leg	left	FMA:58760	musculoskeletal	muscle
Diaphragmatic fascia		FMA:18093	musculoskeletal	muscle
Iliopsoas fascia	left	FMA:20644	musculoskeletal	muscle
Iliopsoas fascia	right	FMA:20643	musculoskeletal	muscle
Transversalis fascia		FMA:12265	musculoskeletal	muscle
Inguinal ligament	left	FMA:21965	musculoskeletal	muscle
Linea alba		FMA:11336	musculoskeletal	muscle
Inguinal ligament	right	FMA:21964	musculoskeletal	muscle
Cricopharyngeal ligament	right	FMA:55377	musculoskeletal	connective
Cricopharyngeal ligament	left	FMA:55378	musculoskeletal	connective
Quadrangular membrane	left	FMA:55249	musculoskeletal	connective
Quadrangular membrane	right	FMA:55248	musculoskeletal	connective
Median cricothyroid ligament		FMA:55237	musculoskeletal	connective
Lateral thyrohyoid ligament	left	FMA:55141	musculoskeletal	connective
Median thyrohyoid ligament		FMA:55138	musculoskeletal	connective
Lateral thyrohyoid ligament	right	FMA:55140	musculoskeletal	connective
Sacrospinous ligament	left	FMA:21487	musculoskeletal	connective
Sacrotuberous ligament	right	FMA:21483	musculoskeletal	connective
Sacrotuberous ligament	left	FMA:21484	musculoskeletal	connective
Obturator membrane	right	FMA:25727	musculoskeletal	connective
Sacrospinous ligament	right	FMA:21486	musculoskeletal	connective
Obturator membrane	left	FMA:25728	musculoskeletal	connective
Pubic symphysis		FMA:16950	musculoskeletal	connective
Superior pubic ligament		FMA:21489	musculoskeletal	connective
Posterior tibiofibular ligament	left	FMA:312029	musculoskeletal	connective
Posterior tibiofibular ligament	right	FMA:312027	musculoskeletal	connective
Anterior tibiofibular ligament	left	FMA:312033	musculoskeletal	connective
Anterior tibiofibular ligament	right	FMA:312031	musculoskeletal	connective
Interosseous membrane of leg	left	FMA:35193	musculoskeletal	connective
Interosseous membrane of leg	right	FMA:35192	musculoskeletal	connective
Transverse ligament of knee	right	FMA:312035	musculoskeletal	connective
Popliteofibular ligament	right	FMA:311975	musculoskeletal	connective
Arcuate popliteal ligament	right	FMA:44597	musculoskeletal	connective
Lateral meniscus	left	FMA:44633	musculoskeletal	connective
Anterior cruciate ligament	right	FMA:44615	musculoskeletal	connective
Fibular collateral ligament	right	FMA:44609	musculoskeletal	connective
Articular capsule of knee joint	right	FMA:43610	musculoskeletal	connective
Anterior cruciate ligament	left	FMA:44616	musculoskeletal	connective
Medial meniscus	right	FMA:44622	musculoskeletal	connective
Articular capsule of knee joint	left	FMA:43611	musculoskeletal	connective
Popliteofibular ligament	left	FMA:311977	musculoskeletal	connective
Fibular collateral ligament	left	FMA:44610	musculoskeletal	connective
Transverse ligament of knee	left	FMA:312037	musculoskeletal	connective
Posterior cruciate ligament	right	FMA:44618	musculoskeletal	connective
Lateral meniscus	right	FMA:44632	musculoskeletal	connective
Arcuate popliteal ligament	left	FMA:44599	musculoskeletal	connective
Oblique popliteal ligament	right	FMA:44583	musculoskeletal	connective
Posterior cruciate ligament	left	FMA:44619	musculoskeletal	connective
Medial meniscus	left	FMA:44623	musculoskeletal	connective
Oblique popliteal ligament	left	FMA:44584	musculoskeletal	connective
Deep transverse metatarsal ligament	left	FMA:44492	musculoskeletal	connective
Deep transverse metatarsal ligament	right	FMA:44491	musculoskeletal	connective
Plantar cuneocuboid ligament	left	FMA:44268	musculoskeletal	connective
Calcaneonavicular ligament	right	FMA:44237	musculoskeletal	connective
Medial talocalcaneal ligament	left	FMA:44290	musculoskeletal	connective
Plantar calcaneocuboid ligament	right	FMA:44252	musculoskeletal	connective
